Isoform,PTM pattern,average mass,mass shift,masses Day1_1,masses Day1_2,masses Day2_1,masses Day2_2,masses FastFreeze_1,masses FastFreeze_2,masses SlowFreeze_1,masses SlowFreeze_2,raw intensities Day1_1,raw intensities Day1_2,raw intensities Day2_1,raw intensities Day2_2,raw intensities FastFreeze_1,raw intensities FastFreeze_2,raw intensities SlowFreeze_1,raw intensities SlowFreeze_2,rel. abundances Day1_1,rel. abundances Day1_2,rel. abundances Day2_1,rel. abundances Day2_2,rel. abundances FastFreeze_1,rel. abundances FastFreeze_2,rel. abundances SlowFreeze_1,rel. abundances SlowFreeze_2
P02656-1,0,8094.241073591613,-670.0305821016209,,,8094.378132709807,,8094.104014473418,,,,,,0.09736292400654566,,0.07469618124139467,,,,,,0.02612903589564675,,0.029633205888815052,,,
P02656-1,0,8094.796172885677,-669.4754828075565,,,,8094.594203951179,,,8094.998141820175,,,,,0.0820729434604183,,,0.08352122985749222,,,,,0.028089308022903055,,,0.027891316304989134,
P02656-1,0,8123.1951202514365,-641.0765354417972,8123.406150953921,,,8122.822251128276,,,,8123.356958672111,0.1343272087133019,,,0.12076936139346052,,,,0.08455165221174148,0.037021719969981035,,,0.04133308309511578,,,,0.024321512333684275
P02656-1,0,8123.637974340246,-640.6336813529879,,8123.549351049639,8123.593851637714,,8123.770720333384,,,,,0.08545393587938829,0.11667795584798217,,0.08744169755528253,,,,,0.027750352690078417,0.03131256099475455,,0.03468956222205401,,,
P02656-1,0,8141.334262687495,-622.9373930057391,8141.353824682633,8141.245256783389,8141.362330512989,8141.284446986623,8141.351932572513,,,8141.407784586822,0.9837235469821685,0.8575572957517063,1.0116410040937052,1.0765020089033062,0.771908775651993,,,0.8245697788121152,0.2711225672974464,0.2784835732159618,0.27149147767681514,0.36843075489234783,0.3062289302629358,,,0.23718973575039398
P02656-1,0,8582.83423129427,-181.43742439896414,8582.896898692008,,,,,,8582.77156389653,,0.10494975925156601,,,,,,0.09836770841868499,,0.028925045306503458,,,,,,0.0328491914496919,
P02656-1,0,8764.432285811314,0.16063011808000738,,,,,,,8764.432285811314,,,,,,,,0.10876822957423635,,,,,,,,0.03632237097280439,
P02656-1,0,8765.098048919279,0.8263932260451838,,,,,8765.098048919279,,,,,,,,0.09875353182899589,,,,,,,,0.039177153266766476,,,
P02656-1,1[Ph]4[Na],8932.053463458295,167.78180776506088,8932.279540485037,,,,,,8931.827386431552,,0.12529305369094984,,,,,,0.10824987505960197,,0.03453183009132836,,,,,,0.03614927019650531,
P02656-1,4[Me3],8932.657222358996,168.38556666576187,,8932.657222358996,,,,,,,,0.06734326512106872,,,,,,,,0.021869084661574643,,,,,,
